Location,Staff Quarter,Table Name,24X7Security,AC,Area,ATM,BED,Cafeteria,Car Parking,Children'splayarea,Club House,Dining Table,Gasconnection,Golf Course,Gymnasium,Hospital,Indoor Games,Intercom,Jogging Track,Landscaped Gardens,Lift Available,Maintenance Staff,Microwave,Multipurpose Room,No. of Bedrooms,Power Backup,Price,Rain Water Harvesting,Refrigerator,Resale,School,Shopping Mall,Sofa,Sports Facility,Swimming Pool,TV,Vaastu Compliant,Wardrobe,Washing Machine,Wifi
RR Nagar,0,Bangalore.csv,0,0,1210,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,5700000,1,0,0,0,0,0,0,1,0,1,0,0,0
JP Nagar Phase 1,0,Bangalore.csv,1,0,3340,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,4,1,30000000,1,0,0,0,0,0,1,1,0,0,0,0,0
Dasarahalli on Tumkur Road,0,Bangalore.csv,1,0,1045,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,7888000,1,0,0,0,0,0,1,1,0,1,0,0,0
Kannur on Thanisandra Main Road,0,Bangalore.csv,1,0,1179,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,4866000,1,0,0,0,0,0,0,1,0,0,0,0,0
Doddanekundi,0,Bangalore.csv,0,0,1675,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,8358000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kengeri,0,Bangalore.csv,1,0,1670,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,3,1,6845000,1,0,0,0,0,0,1,1,0,0,0,0,0
Horamavu,0,Bangalore.csv,1,0,1220,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,6797000,1,0,0,0,0,0,1,1,0,0,0,0,0
Thanisandra,0,Bangalore.csv,1,0,2502,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,4,1,20000000,0,0,0,0,0,0,0,1,0,1,0,0,0
Ramamurthy Nagar,0,Bangalore.csv,1,0,1438,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,7105000,1,0,0,0,0,0,0,0,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,1,0,1405,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,1,8405000,1,0,0,0,0,0,0,1,0,1,0,0,0
Electronic City Phase 1,0,Bangalore.csv,1,0,660,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,3506000,1,0,0,0,1,0,0,1,0,0,0,0,0
Yelahanka,1,Bangalore.csv,1,0,1362,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,7700000,1,0,0,0,0,0,0,1,0,1,0,0,0
Anjanapura,0,Bangalore.csv,1,0,1735,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,9369000,1,0,0,0,0,0,1,1,0,1,0,0,0
Jalahalli,0,Bangalore.csv,1,0,1575,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,0,8716000,1,0,0,1,1,0,0,1,0,0,0,0,0
Kasavanahalli,0,Bangalore.csv,0,0,1120,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,5394000,0,0,0,0,0,0,0,1,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,0,0,1415,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,1,6367000,1,0,0,0,0,0,0,1,0,0,0,0,0
Bommasandra,0,Bangalore.csv,1,0,1270,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,5080000,1,0,0,0,0,0,0,1,0,0,0,0,0
Bellandur,1,Bangalore.csv,1,0,1311,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,7209999,1,0,0,0,0,0,0,1,0,1,0,0,0
RR Nagar,0,Bangalore.csv,0,0,1210,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,5700000,1,0,0,0,0,0,0,1,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,1,0,1705,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,12400000,0,0,0,0,0,0,0,1,0,0,0,0,0
Begur,0,Bangalore.csv,1,0,1187,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,4900000,1,0,0,0,0,0,1,1,0,1,0,0,0
JP Nagar Phase 1,0,Bangalore.csv,1,0,3340,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,4,1,30000000,1,0,0,0,0,0,1,1,0,0,0,0,0
Dasarahalli on Tumkur Road,0,Bangalore.csv,1,0,1045,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,7888000,1,0,0,0,0,0,1,1,0,1,0,0,0
Kannur on Thanisandra Main Road,0,Bangalore.csv,1,0,1179,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,0,4866000,1,0,0,0,0,0,0,1,0,0,0,0,0
Doddanekundi,0,Bangalore.csv,0,0,1675,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,8358000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kengeri,0,Bangalore.csv,1,0,1670,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,3,1,6845000,1,0,0,0,0,0,1,1,0,0,0,0,0
Horamavu,0,Bangalore.csv,1,0,1220,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,6797000,1,0,0,0,0,0,1,1,0,0,0,0,0
Thanisandra,0,Bangalore.csv,1,0,2502,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,4,1,20000000,0,0,0,0,0,0,0,1,0,1,0,0,0
Ramamurthy Nagar,0,Bangalore.csv,1,0,1438,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,7105000,1,0,0,0,0,0,0,0,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,1,0,1405,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,1,8405000,1,0,0,0,0,0,0,1,0,1,0,0,0
Electronic City Phase 1,0,Bangalore.csv,1,0,660,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,3506000,1,0,0,0,1,0,0,1,0,0,0,0,0
Yelahanka,1,Bangalore.csv,1,0,1362,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,7700000,1,0,0,0,0,0,0,1,0,1,0,0,0
Anjanapura,0,Bangalore.csv,1,0,1735,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,9369000,1,0,0,0,0,0,1,1,0,1,0,0,0
Jalahalli,0,Bangalore.csv,1,0,1575,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,0,8716000,1,0,0,1,1,0,0,1,0,0,0,0,0
Kasavanahalli,0,Bangalore.csv,0,0,1120,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,2,1,5394000,0,0,0,0,0,0,0,1,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,0,0,1415,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,3,1,6367000,1,0,0,0,0,0,0,1,0,0,0,0,0
Bommasandra,0,Bangalore.csv,1,0,1270,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,5080000,1,0,0,0,0,0,0,1,0,0,0,0,0
Bellandur,1,Bangalore.csv,1,0,1311,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,7209999,1,0,0,0,0,0,0,1,0,1,0,0,0
RR Nagar,0,Bangalore.csv,0,0,1210,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,2,1,5700000,1,0,0,0,0,0,0,1,0,1,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,1,0,1705,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,12400000,0,0,0,0,0,0,0,1,0,0,0,0,0
Begur,0,Bangalore.csv,1,0,1187,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,4900000,1,0,0,0,0,0,1,1,0,1,0,0,0
Bommasandra,0,Bangalore.csv,1,0,1270,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,5080000,1,0,0,0,0,0,0,1,0,0,0,0,0
Kannur on Thanisandra Main Road,1,Bangalore.csv,1,0,2293,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,9630000,1,0,0,0,0,0,0,1,0,1,0,0,0
Hosa Road,1,Bangalore.csv,1,0,1726,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,9458000,1,0,0,0,0,0,1,1,0,1,0,0,0
Sahakar Nagar,1,Bangalore.csv,1,0,2470,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,4,1,23700000,1,0,0,0,0,0,1,1,0,1,0,0,0
Kadugodi,0,Bangalore.csv,1,0,1570,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,3,1,7363000,0,0,0,0,0,0,0,1,0,0,0,0,0
Jakkur,0,Bangalore.csv,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5489000,0,0,0,0,0,0,0,0,0,0,0,0,0
Jigani,0,Bangalore.csv,1,0,1506,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,3,1,4216000,0,0,0,0,0,0,0,1,0,1,0,0,0
Krishnarajapura,0,Bangalore.csv,1,0,1040,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2,1,4368000,1,0,0,0,0,0,0,0,0,0,0,0,0
Brookefield,0,Bangalore.csv,0,0,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7600000,0,0,0,0,0,0,0,0,0,0,0,0,0
Horamavu,0,Bangalore.csv,1,0,1045,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,4545000,1,0,0,0,0,0,0,0,0,1,0,0,0
Banashankari,0,Bangalore.csv,1,0,2480,0,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,3,1,23100000,1,0,0,0,0,0,1,1,0,0,0,0,0
RR Nagar,1,Bangalore.csv,1,0,1160,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,8000000,1,0,0,0,0,0,1,1,0,1,0,0,0
RR Nagar,1,Bangalore.csv,1,0,1143,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,4514000,1,0,0,1,0,0,0,1,0,1,0,0,0
RR Nagar,1,Bangalore.csv,1,0,1300,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,5460000,1,0,1,1,0,0,1,1,0,1,0,0,0
Nelamangala,0,Bangalore.csv,0,0,966,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,4414000,0,0,0,0,0,0,1,1,0,0,0,0,0
Begur,0,Bangalore.csv,1,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,8868000,1,0,0,0,0,0,0,0,0,1,0,0,0
Ramamurthy Nagar,0,Bangalore.csv,1,0,1275,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,6133000,1,0,0,0,0,0,0,0,0,0,0,0,0
Attibele,0,Bangalore.csv,1,0,1085,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,2,1,3038000,0,0,0,0,0,0,1,1,0,0,0,0,0
Nelamangala,0,Bangalore.csv,0,0,1286,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,3,0,7100000,0,0,1,0,0,0,1,1,0,1,0,0,0
Banaswadi,0,Bangalore.csv,1,0,1155,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,2,0,7506999,0,0,0,0,0,0,1,1,0,0,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,1,0,1304,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,3,0,6520000,1,0,0,0,0,0,0,1,0,0,0,0,0
Kodigehalli,0,Bangalore.csv,1,0,1120,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,6389000,1,0,0,0,0,0,0,0,0,0,0,0,0
ITPL,0,Bangalore.csv,0,0,2017,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,11700000,1,0,0,0,0,0,0,1,0,1,0,0,0
Uttarahalli Hobli,0,Bangalore.csv,0,1,1340,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,3,1,5600000,0,1,0,0,0,1,0,0,1,0,0,1,0
Electronic City Phase 1,0,Bangalore.csv,0,0,1304,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,3,1,4562000,0,0,0,0,0,0,1,1,0,0,0,0,0
Ramamurthy Nagar,0,Bangalore.csv,0,0,649,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2951000,0,0,0,0,0,0,0,0,0,0,0,0,0
Krishnarajapura,0,Bangalore.csv,1,0,1108,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,2,1,4264000,1,0,0,0,0,0,1,1,0,0,0,0,0
Krishnarajapura,0,Bangalore.csv,0,0,1675,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,1,6698000,0,0,0,0,0,0,0,0,0,0,0,0,0
Chikkagubbi on Hennur Main Road,0,Bangalore.csv,1,0,718,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,8100000,1,0,0,0,0,0,0,1,0,0,0,0,0
Kasavanahalli,0,Bangalore.csv,0,0,1075,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,1,2,1,4500000,0,0,0,0,0,0,1,1,0,1,0,0,0
Varthur,0,Bangalore.csv,0,0,1120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4928000,0,0,0,0,0,0,0,0,0,0,0,0,0
Vidyaranyapura,0,Bangalore.csv,0,0,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6100000,1,0,0,0,0,0,0,0,0,0,0,0,0
Electronic City Phase 2,0,Bangalore.csv,1,0,1404,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,2,1,6151000,1,0,0,0,0,0,0,1,0,1,0,0,0
Begur,0,Bangalore.csv,1,0,1080,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,2,1,5426000,1,0,0,0,0,0,0,1,0,0,0,0,0
J. P. Nagar,0,Bangalore.csv,0,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,13000000,0,0,1,0,0,0,0,0,0,0,0,0,0
K. Chudahalli,0,Bangalore.csv,0,0,1060,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,4850000,0,0,0,0,0,0,0,0,0,0,0,0,0
Narayanaghatta,0,Bangalore.csv,1,0,1540,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,4604000,1,0,0,0,0,0,0,1,0,1,0,0,0
Anekal City,0,Bangalore.csv,1,0,1110,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,3607000,1,0,0,0,0,0,0,1,0,1,0,0,0
Sahakar Nagar,1,Bangalore.csv,1,0,1645,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,16500000,1,0,1,0,0,0,1,1,0,1,0,0,0
Sarjapur,0,Bangalore.csv,1,0,1345,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,4840000,1,0,0,0,0,0,0,0,0,1,0,0,0
Koramangala,1,Bangalore.csv,1,0,1866,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,25800000,1,0,0,0,0,0,0,1,0,1,0,0,0
Hebbal,0,Bangalore.csv,1,0,3500,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,3,1,51000000,1,0,0,0,0,0,1,1,0,0,0,0,0
Electronic City Phase 1,0,Bangalore.csv,1,0,1145,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,2,1,4809000,1,0,0,0,0,0,0,1,0,0,0,0,0
Budigere Cross,0,Bangalore.csv,1,0,935,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,5070000,1,0,0,0,0,0,0,1,0,1,0,0,0
Bommanahalli,0,Bangalore.csv,1,1,1455,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,3,1,10500000,0,1,0,0,0,1,1,1,1,0,0,1,0
Uttarahalli Hobli,0,Bangalore.csv,0,0,1305,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,1,6850000,0,0,0,0,0,0,1,0,0,0,0,0,0
Varthur,0,Bangalore.csv,0,0,1145,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,4580000,0,0,0,0,0,0,0,1,0,0,0,0,0
Whitefield Hope Farm Junction,0,Bangalore.csv,1,0,1635,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,5559000,1,0,0,0,0,0,1,1,0,1,0,0,0
RR Nagar,0,Bangalore.csv,1,0,1145,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,2,1,4723000,1,0,0,0,0,0,0,0,0,0,0,0,0
Krishnarajapura,0,Bangalore.csv,0,0,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4465000,0,0,0,0,0,0,0,0,0,0,0,0,0
Varthur,1,Bangalore.csv,1,0,1216,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,2,1,8954000,1,0,0,1,1,0,0,1,0,1,0,0,0
Electronics City,0,Bangalore.csv,0,0,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0
Chikkalasandra,0,Bangalore.csv,0,0,1200,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,5400000,0,0,1,0,0,0,0,0,0,1,0,0,0
Kogilu,0,Bangalore.csv,1,0,1279,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,2,1,8784000,1,0,0,0,0,0,0,1,0,1,0,0,0
Nayandahalli,1,Bangalore.csv,1,0,1180,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,2,1,7900000,1,0,0,0,0,0,1,1,0,1,0,0,0
Electronic City Phase 2,0,Bangalore.csv,1,0,1310,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,3,1,4781000,1,0,0,0,0,0,1,1,0,1,0,0,0
Bilekahalli,0,Bangalore.csv,1,0,1776,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,15000000,1,0,0,0,0,0,0,1,0,1,0,0,0
Horamavu,0,Bangalore.csv,1,0,1125,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,4700000,1,0,0,0,0,0,0,0,0,1,0,0,0
Muneshwara Nagar,0,Bangalore.csv,0,0,1195,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,3,1,7767000,1,0,0,0,0,0,1,1,0,0,0,0,0
Thanisandra,0,Bangalore.csv,1,0,1272,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,2,1,6487000,0,0,0,0,0,0,1,1,0,0,0,0,0
Junnasandra,0,Bangalore.csv,1,0,2170,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,3,1,14000000,1,0,0,0,0,0,1,1,0,1,0,0,0
RR Nagar,0,Bangalore.csv,0,0,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8758000,0,0,0,0,0,0,0,0,0,0,0,0,0
Narayanapura on Hennur Main Road,0,Bangalore.csv,0,0,1846,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,13100000,0,0,0,0,0,0,0,1,0,0,0,0,0
Kothanur,0,Bangalore.csv,0,0,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5500000,0,0,0,0,0,0,0,0,0,0,0,0,0
Kadugodi Industrial Area,0,Bangalore.csv,0,0,1215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4900000,0,0,0,0,0,0,0,0,0,0,0,0,0
Horamavu,0,Bangalore.csv,1,0,1045,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,4545000,1,0,0,0,0,0,0,0,0,1,0,0,0
Kannur on Thanisandra Main Road,1,Bangalore.csv,1,0,1245,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,2,1,8779000,1,0,0,0,0,0,1,1,0,1,0,0,0
ITPL,1,Bangalore.csv,1,0,1833,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,22000000,1,0,0,0,0,0,0,1,0,1,0,0,0
Sarjapur Road Wipro To Railway Crossing,0,Bangalore.csv,1,0,969,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,2,0,5329000,0,0,0,0,0,0,0,1,0,0,0,0,0
RMV Extension Stage 2,0,Bangalore.csv,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,7500000,0,0,1,0,0,0,0,0,0,1,0,0,0
Kudlu,0,Bangalore.csv,1,0,900,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,1,3779999,0,0,0,0,0,0,0,0,0,1,0,0,0
Varthur,1,Bangalore.csv,1,0,1216,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,2,1,8954000,1,0,0,1,1,0,0,1,0,1,0,0,0
Talaghattapura,0,Bangalore.csv,0,0,1306,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,1,9000000,0,0,1,0,0,0,1,1,0,0,0,0,0
Koramangala,1,Bangalore.csv,1,0,1866,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,3,1,25800000,1,0,0,0,0,0,0,1,0,1,0,0,0
Varthur,1,Bangalore.csv,1,0,1216,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0,0,1,2,1,8954000,1,0,0,1,1,0,0,1,0,1,0,0,0
Narayanapura on Hennur Main Road,0,Bangalore.csv,0,0,1846,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,13100000,0,0,0,0,0,0,0,1,0,0,0,0,0
Electronic City Phase 2,0,Bangalore.csv,1,0,1505,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,3,1,8218000,1,0,0,0,0,0,0,1,0,1,0,0,0
Jakkur,0,Bangalore.csv,1,0,1502,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,3,1,8656000,0,0,0,0,0,0,0,1,0,1,0,0,0
